code,error_message,in_local_master_md_sections,in_kb_indexed_table_version,verified_in_kb_via_retrieve_test
627,"While in linkage controll Master/Slave Wire Remote controller, Slave Wire Remote controller 2EA installation Error(Installing Wire Remocontroller set slave in Master Wire Remocontroller 2EA at the same time)",yes,assumed (full original table),not sampled
628,DMS↔Transmitter Communication Error,yes,assumed (full original table),not sampled
629,DMS↔DDC Communication Error,yes,assumed (full original table),not sampled
630,"ERV wire remote controller normal ventilation option set Error  -  Check normal ventilation option set only. - ERV normal ventilation No option, use Wire Remote controller option normal ventilation",yes,assumed (full original table),not sampled
631,"ERVWire Remote controller auto ventilation option set  Error  - Check set auto ventilation only - ERV auto ventilation no option, use wire remote controller auto ventilation",yes,assumed (full original table),not sampled
632,"Error when input the pulse except set the value of Pulse Width by PIM     1. less than 20ms , 2. over 400ms , 3. over range of set pulse width, 4. repeated purse over 3min",yes,assumed (full original table),not sampled
652,Two wired remote controllers have been set to Master mode (COM1 wiring),yes,assumed (full original table),not sampled
653,Error with the room temperature sensor in the wired remote control (open/short),yes,assumed (full original table),not sampled
654,Memory data error in the wired remote control (MWR-WS00),yes,assumed (full original table),not sampled
655,RESERVED(DMS-SNET3 Error),yes,assumed (full original table),not sampled
656,RESERVED(DMS-SNET3Error),yes,assumed (full original table),not sampled
701,Floating switch error on the indoor unit (1st detection),yes,assumed (full original table),not sampled
702,EEV closing error on the indoor unit (1st detection),yes,assumed (full original table),not sampled
703,EEV opening error on the indoor unit (1st detection),yes,assumed (full original table),not sampled
720,Outdoor EEV#1 opening Self-Check Every time error,yes,assumed (full original table),not sampled
721,Outdoor EEV#2 opening Self-Check Every time error,yes,assumed (full original table),not sampled
722,Outdoor EEV#3 opening Self-Check Every time error,yes,assumed (full original table),not sampled
723,Outdoor EEV#1 closing Self-Check Every time error,yes,assumed (full original table),not sampled
724,Outdoor EEV#2 closing Self-Check Every time error,yes,assumed (full original table),not sampled
725,Outdoor EEV#3 closing Self-Check Every time error,yes,assumed (full original table),not sampled
768,RESERVED(DMS-SNET3 Error),yes,assumed (full original table),not sampled
801,"[GHP-R410A] communication error : ""IF → Outdoor unit"" : Disconnection",yes,assumed (full original table),not sampled
802,"[GHP-R410A] communication error : ""Outdoor unit → IF"" : Disconnection",yes,assumed (full original table),not sampled
803,"[GHP-R410A] communication error : ""IF ↔ Indoor unit"" some disconnect in Indoor unit (communicating)",yes,assumed (full original table),not sampled
804,[GHP-R410A] communication error : Among outdoor unit,yes,assumed (full original table),not sampled
805,[GHP-R410A] Error setting ourdoor unit organization,yes,assumed (full original table),not sampled
806,[GHP-R410A] Remocon Sensor disconnect/short circuit,yes,assumed (full original table),not sampled
807,[GHP-R410A] outdoor liquid pipe Sensor disconnect/short circuit,yes,assumed (full original table),not sampled
808,[GHP-R410A] outdoor Unit - overcooling heat exchanger entry temp thermystor disconnect/short circuit,yes,assumed (full original table),not sampled
809,[GHP-R410A]COMP suction temp overheat,yes,assumed (full original table),not sampled
810,[GHP-R410A] COMP suction superheat not soar,yes,assumed (full original table),not sampled
811,[GHP-R410A]  refrigerant high pressure Switch disconnect,yes,assumed (full original table),not sampled
812,[GHP-R410A] Gas EEV Output error,yes,assumed (full original table),not sampled
813,[GHP-R410A] refrigerant low pressure Sensor error(2nd),yes,assumed (full original table),not sampled
814,[GHP-R410A] refrigerant high pressure Sensor error 1,yes,assumed (full original table),not sampled
815,[GHP-R410A] refrigerant high pressure Sensor error 2 (value of high pressure sensor less than standard low pressure),yes,assumed (full original table),not sampled
816,[GHP-R410A] Water Pump operation failure,yes,assumed (full original table),not sampled
817,[GHP-R410A] Water Pump a number of revolute error,yes,assumed (full original table),not sampled
818,[GHP-R410A] IPM(outdoor unit FAN operating Driver) error,yes,assumed (full original table),not sampled
819,[GHP-R410A] outdoor heat exchange Fan 1 operating failure,yes,assumed (full original table),not sampled
820,[GHP-R410A] outdoor heat exchange Fan 2 operating failure,yes,assumed (full original table),not sampled
821,[GHP-R410A] outdoor heat exchange Fan 3 operating failure,yes,assumed (full original table),not sampled
822,[GHP-R410A] outdoor heat exchange Fan 1 a number of revolute error,yes,assumed (full original table),not sampled
823,[GHP-R410A] outdoor heat exchange Fan 2 a number of revolute error,yes,assumed (full original table),not sampled
824,[GHP-R410A] outdoor heat exchange Fan 3 a number of revolute error,yes,assumed (full original table),not sampled
825,[GHP-R410A] outdoor Unit - heat exchange Fan error,yes,assumed (full original table),not sampled
826,[GHP-R410A] outdoor Unit - Accum exit temp  thermystor 1 disconnect/short circuit,yes,assumed (full original table),not sampled
827,[GHP-R410A] outdoor Unit - Accum exit temp thermystor 2 disconnect/short circuit,yes,assumed (full original table),not sampled
828,[GHP-R410A] outdoor unit Unit - refrigerant low pressure Switch disconnect,yes,assumed (full original table),not sampled
829,[GHP-R410A] refrigerant low pressure error,yes,assumed (full original table),not sampled
830,[GHP-R410A] three phase error,yes,assumed (full original table),not sampled
831,[GHP-R410A] one phase power part error,yes,assumed (full original table),not sampled
832,[GHP-R410A] Main - Sub MICOM Program Version Unmatch,yes,assumed (full original table),not sampled
833,[GHP-R410A] indoor unit connection number Over,yes,assumed (full original table),not sampled
834,[GHP-R410A] indoor unit connection capacity Over,yes,assumed (full original table),not sampled
835,[GHP-R410A] outdoor-indoor connection Unmatch,yes,assumed (full original table),not sampled
836,[GHP-R410A] Outdoor Unit -Regular Inspection,yes,assumed (full original table),not sampled
837,[GHP-R410A] Refrigerant High pressure error 1,yes,assumed (full original table),not sampled
838,[GHP-R410A] Refrigerant High pressure error 2,yes,assumed (full original table),not sampled
841,[GHP-R410A] Ourdoor Unit Gas Temp Thermistor short/disconnection,yes,assumed (full original table),not sampled
842,[GHP-R410A] Engine Room 온도 Sensor 단선/단락,yes,assumed (full original table),not sampled
843,[GHP-R410A] Engine water temp Sensor short/disconnection,yes,assumed (full original table),not sampled
844,[GHP-R410A] Enginedischarge temp Sensor disconnection,yes,assumed (full original table),not sampled
845,[GHP-R410A] Engine fluid pressure error,yes,assumed (full original table),not sampled
846,[GHP-R410A] Engine Fluid pressure Switch disconnected,yes,assumed (full original table),not sampled
847,[GHP-R410A] Engine over revolute 1,yes,assumed (full original table),not sampled
848,[GHP-R410A] Engine over revolute 2,yes,assumed (full original table),not sampled
849,[GHP-R410A] Starter Error,yes,assumed (full original table),not sampled
850,[GHP-R410A] Engine a number of revolute control error,yes,assumed (full original table),not sampled
851,[GHP-R410A] Engine Stop,yes,assumed (full original table),not sampled
852,[GHP-R410A] IGUNAITA(firer) low voltage,yes,assumed (full original table),not sampled
853,[GHP-R410A] IGUNAITA(firer) disconnect,yes,assumed (full original table),not sampled
854,[GHP-R410A] IGUNAITA(firer) over voltage,yes,assumed (full original table),not sampled
855,[GHP-R410A] Engine discharge temp Error,yes,assumed (full original table),not sampled
856,[GHP-R410A] Engine water temp overheat,yes,assumed (full original table),not sampled
857,[GHP-R410A] Engine operation failure,yes,assumed (full original table),not sampled
858,[GHP-R410A] Engine cooling,yes,assumed (full original table),not sampled
859,[GHP-R410A] Engine insufficient operating revolute,yes,assumed (full original table),not sampled
860,[GHP-R410A] Engine a number of revolute Haunting Error,yes,assumed (full original table),not sampled
861,[GHP-R410A] COMP discharge temperature overheat,yes,assumed (full original table),not sampled
862,[GHP-R410A] Compressor Discharge temperature Sensor1 short/disconnection,yes,assumed (full original table),not sampled
863,[GHP-R410A] Compressor Discharge temperature Sensor2 short/disconnection,yes,assumed (full original table),not sampled
864,[GHP-R410A] Compressor Discharge temperature Sensor3 short/disconnection,yes,assumed (full original table),not sampled
865,[GHP-R410A] Compressor Discharge temperature Sensor4 short/disconnection,yes,assumed (full original table),not sampled
866,[GHP-R410A] Compressor nhale temperature Sensor1 short/disconnection,yes,assumed (full original table),not sampled
867,[GHP-R410A] Compressor suction temperature Sensor2 short/disconnection,yes,assumed (full original table),not sampled
868,[GHP-R22] Outdoor Unit - Accum Entrance Temperature Sensor short/disconnection,yes,assumed (full original table),not sampled
869,[GHP-R22] Outdoor Unit - refrigerants Gas pipe temperature Sensor short/disconnection,yes,assumed (full original table),not sampled
870,[GHP-R22] Outdoor Unit - comp lubricating oil insufficiency error,yes,assumed (full original table),not sampled
871,[GHP-R22] Outdoor Unit - Refrigerant overfill error,yes,assumed (full original table),not sampled
872,[GHP-R22] Outdoor Unit - Compressor induction temperature error,yes,assumed (full original table),not sampled
873,[GHP-R22] Engine cooling system Error,yes,assumed (full original table),not sampled
874,[GHP-R22] Engine Oil System error,yes,assumed (full original table),not sampled
875,[GHP-R22] Engine power system Error,yes,assumed (full original table),not sampled
876,[GHP-R22] Engine operating/control system Error,yes,assumed (full original table),not sampled
880,[GHP-R410A] Outdoor Unit - Engine Temp of Cooling water low,yes,assumed (full original table),not sampled
881,[GHP-R410A] Outdoor Unit - leakage of Engine oil,yes,assumed (full original table),not sampled
882,[GHP-R410A] Outdoor Unit - Lack of Comp oil,yes,assumed (full original table),not sampled
883,[GHP-R410A] Outdoor Unit - starter Trans voltage short,yes,assumed (full original table),not sampled
901,Water Inlet Sensor(Tw1)  SHORT / OPEN,yes,assumed (full original table),not sampled
902,Water Outlet Sensor(Tw3)  SHORT / OPEN,yes,assumed (full original table),not sampled
903,PHE Sensor(Tw2)  SHORT / OPEN,yes,assumed (full original table),not sampled
904,Water TANK Sensor SHORT / OPEN,yes,assumed (full original table),not sampled
905,SOLAR Sensor SHORT / OPEN,yes,assumed (full original table),not sampled
906,Outdoor Unit's EVA In_sensor SHORT / OPEN,yes,assumed (full original table),not sampled
907,Heat exchanger freezing burst protection,yes,assumed (full original table),not sampled
908,During Heat exchanger freezing burst protection Compressor Stop (system will try to restart),yes,assumed (full original table),not sampled
909,Failure to restart after 908 error 3 times. System stop,yes,assumed (full original table),not sampled
910,Breakaway of Water Out temperature-sensor (TW2) error,yes,assumed (full original table),not sampled
911,Flow Switch Open Error,yes,assumed (full original table),not sampled
912,Flow Switch Close Error,yes,assumed (full original table),not sampled
913,Failure to restart after 911 error after 6 times,yes,assumed (full original table),not sampled
914,Thermostat Wiring Error,yes,assumed (full original table),not sampled
