code,error_message,in_local_master_md_sections,in_kb_indexed_table_version,verified_in_kb_via_retrieve_test
366,Inverter 2 PBA DC Link over / under Voltage (Equal or Less than 150 V / Equal or over 410V),yes,assumed (full original table),yes
367,Inverter 2 Compressor rotating failure -  Wiring disconnection error of compressor 2.,yes,assumed (full original table),yes
368,Inverter 2 Compressor CT sensor Error -  Current sensor error of INV PBA 2,yes,assumed (full original table),yes
369,DC-link voltage sensor error of INV PBA 2,yes,assumed (full original table),yes
371,Inverter 2 ODU EEPROM Read / Write Error (OTP Error),yes,assumed (full original table),yes
374,Inverter PBA 2 Heatsink Temperature sensor Error,yes,assumed (full original table),yes
378,ODU FAN 2 IPM H/W OC ( Over current of fan 2),yes,assumed (full original table),yes
385,Inverter 2 PBA Input Current sensor Error,yes,assumed (full original table),yes
387,Outdoor unit Fan 2 Hall Sensor Error,yes,assumed (full original table),yes
388,Inverter 2 PBA Input Voltage sensor Error,yes,assumed (full original table),yes
389,Outdoor fan 2 motor Overload error (system stop),yes,assumed (full original table),yes
391,Fan 2 PBA EEPROM Read/Writer Error,yes,assumed (full original table),yes
393,Fan 2 PBA CT Sensor Error (Motor current sensor error),yes,assumed (full original table),yes
396,Fan 2 PBA DC Link voltage sensor Error,yes,assumed (full original table),yes
399,Fan 2 PBA Heatsink temperature sensor error,yes,assumed (full original table),yes
400,IGBT module overheated error of INV PCB 2 (Compressor down),yes,assumed (full original table),yes
401,Outdoor unit freeze up (compressor stopped),yes,assumed (full original table),yes
402,Outdoor Freezing detect 2,yes,assumed (full original table),yes
403,Detection of outdoor unit freeze up when compressor is stopped or the indoor units do not reach above -4°C after 5 minutes of operation,yes,assumed (full original table),yes
404,Outdoor overload 1 Protection Control Error,yes,assumed (full original table),yes
405,Outdoor overload 2 Protection Control Error,yes,assumed (full original table),yes
406,Outdoor overload 3 Protection Control Error,yes,assumed (full original table),yes
407,Compressor stopped by high pressure protection control,yes,assumed (full original table),yes
408,COMP down due to High PressureSensor Protection Control 2,yes,assumed (full original table),yes
409,COMP down due to High PressureSensor Protection Control 3,yes,assumed (full original table),yes
410,Compressor stopped by low pressure protection control or refrigerant leakage,yes,assumed (full original table),yes
411,COMP down due to Low PressureSensor Protection Control 2,yes,assumed (full original table),yes
412,COMP down due to Low PressureSensor Protection Control 3,yes,assumed (full original table),yes
413,Sump sensor has gone into protection control,yes,assumed (full original table),yes
414,Outdoor SUMP DOWN_2 Protection Control,yes,assumed (full original table),yes
415,Outdoor SUMP DOWN_3 Protection Control,yes,assumed (full original table),yes
416,Compressor is stopped due to discharge temperature by protection control,yes,assumed (full original table),yes
417,Outdoor DischargeTemperature  _2 Protection Control,yes,assumed (full original table),yes
418,Outdoor DischargeTemperature  _3 Protection Control,yes,assumed (full original table),yes
419,EEV open error (self diagnosis),yes,assumed (full original table),yes
420,Outdoor EEV#2 opening 6th Self-Check Error,yes,assumed (full original table),yes
421,Outdoor EEV#3 opening 6th Self-Check Error,yes,assumed (full original table),yes
422,EEV close error (self diagnosis),yes,assumed (full original table),yes
423,Outdoor EEV#2 closing 6th Self-Check Error,yes,assumed (full original table),not sampled
424,Outdoor EEV#3 closing 6th Self-Check Error,yes,assumed (full original table),not sampled
425,"Reverse phase or phase open (3 phase wiring of outdoor unit, R-S-T-N)",yes,assumed (full original table),not sampled
426,Outdoor Reverse Phase or Missing Phase detect 2 Error,yes,assumed (full original table),not sampled
427,Outdoor Reverse Phase or Missing Phase detect 3 Error,yes,assumed (full original table),not sampled
428,Compressor stopped by abnormal compression ratio,yes,assumed (full original table),not sampled
429,COMP down by Compression Ratio control  Error 2,yes,assumed (full original table),not sampled
430,COMP down by Compression Ratio control  Error 3,yes,assumed (full original table),not sampled
431,Self diagnosis of oil solenoid valve (open and close error) or closing error of oil balance valve,yes,assumed (full original table),not sampled
432,Oil Balance Valve2 Error,yes,assumed (full original table),not sampled
433,Oil Balance Valve3 Error,yes,assumed (full original table),not sampled
434,"Oil Balance Valve opening Error (In DVM PLUS 2,  HotGasValve Opening Error)",yes,assumed (full original table),not sampled
435,Water Cooling Flow Switch Error,yes,assumed (full original table),not sampled
436,Evaporator Protect for Freeze and Burst Error,yes,assumed (full original table),not sampled
437,"Oil Balance Valve Closing Error(In DVM PLUS 2,  HotGasValve Opening Error)",yes,assumed (full original table),not sampled
438,EVI EEV leakage or intercooler leakage,yes,assumed (full original table),not sampled
439,Refrigerant leakage error,yes,assumed (full original table),not sampled
440,Temperature range in heating has been exceeded,yes,assumed (full original table),not sampled
441,Temperature range in cooling has been exceeded,yes,assumed (full original table),not sampled
442,Temperature range for refrigerant charging in heating operation has been exceeded (over 15°C),yes,assumed (full original table),not sampled
443,System cannot operate due to pressure of system being too low,yes,assumed (full original table),not sampled
445,CCH wire is broken or sump sensor has become detached,yes,assumed (full original table),not sampled
446,Fan1 Motor Starting Failure,yes,assumed (full original table),not sampled
447,Fan 1 Motor Wiring disconnection,yes,assumed (full original table),not sampled
448,Fan 1 Motor lock Error,yes,assumed (full original table),not sampled
450,COND High Temperature(Protection Control) Every Time,yes,assumed (full original table),yes
451,Low Pressure Switch Low Pressure(Protection Control),yes,assumed (full original table),yes
452,Temporary power failure or zero crossing error,yes,assumed (full original table),yes
453,Outdoor unit's fan motor is in overload (due to temperature),yes,assumed (full original table),yes
454,"OutdoorFan RPM Error (RPM has exceeded 2500rpm, the difference between the target velocity and the practical velocity is more than 100rpm every 10 seconds)",yes,assumed (full original table),yes
455,Internal PCB Module (IPM) overload error on outdoor unit's fan motor (due to temperature),yes,assumed (full original table),yes
456,OutdoorFan Overcurrent Error,yes,assumed (full original table),yes
457,Backlash error on outdoor unit's fan motor,yes,assumed (full original table),yes
458,Outdoor unit fan 1 error (fan RPM error)/or for DVM compressor 1 over current error,yes,assumed (full original table),yes
459,Outdoor unit IPM Fault Error Or CT2 over currency,yes,assumed (full original table),yes
460,Outdoor Unit/Indoor Unit communication wired incorrect (connected to power terminal)/For DVM Compressor  3 over current,yes,assumed (full original table),yes
461,Inverter Compressor start up error (failed to start 5 times),yes,assumed (full original table),yes
462,Total current error / PFC over current error (inverter compressor),yes,assumed (full original table),yes
463,Compressor tripped by OLP temperature control mode,yes,assumed (full original table),yes
464,IPM over current (o.c) error,yes,assumed (full original table),yes
465,Compressor overload error,yes,assumed (full original table),yes
466,DC-Link under/over voltage error (under 150V or over 410V),yes,assumed (full original table),yes
467,Inverter compressor rotation error,yes,assumed (full original table),yes
468,Current sensor error on inverter compressor,yes,assumed (full original table),yes
469,DC-Link voltage sensor error on inverter compressor,yes,assumed (full original table),yes
470,Outdoor unit EEPROM Read/Write Error,yes,assumed (full original table),yes
471,OTP Error on inverter,yes,assumed (full original table),yes
472,Inverter MICOM zero-croosing error,yes,assumed (full original table),yes
473,Inverter compressor lock error,yes,assumed (full original table),yes
474,Heat-Sink sensor error,yes,assumed (full original table),yes
475,Outdoor fan 2 error with BLDC fan,yes,assumed (full original table),yes
476,4wAY Error detect,yes,assumed (full original table),yes
